280.0 				// vehicle capacity (yards), real number
800.0				// total yardage allowed for a vehicle per day, real number
500				// total number of regular stops for a vehicle allowed per day
3600				// lunch time duration in second, lunch time should start between 11:00am and 12:00 pm
40				// speed: MPH
Stop_ID	X(feet)	Y(feet)	Early_St_Time (HHMM)	Late_St_Time (HHMM)	Svice_Time(Sec)	Load (Yards)	"Stop_Type(0: Depot, 1: regular stop, 2: Landfill)"
1683223	5853872	6984798	100	700	300	3	1
1683224	5853872	6984798	100	700	60	3	1
1683233	5837470	6927460	100	700	300	4	1
1683237	5827952	6927452	0	2400	360	4	1
1683239	5853872	6984798	100	700	300	3	1
1683240	5853872	6984798	100	700	60	3	1
1683243	5852008	6981671	0	2400	300	4	1
1683244	5852008	6981671	0	2400	360	3	1
1683247	5850358	6911890	0	2400	60	3	1
1683257	5815876	6946573	0	2400	360	8	1
1683262	5859008	6969433	0	2400	300	2	1
1683263	5862013	6934242	0	2400	360	6	1
1683277	5859031	6969968	0	2400	300	4	1
1683278	5859031	6969968	0	2400	60	4	1
1683279	5859031	6969968	0	2400	60	4	1
1683304	5859017	6969449	0	2400	300	3	1
1683315	5853377	6930405	100	700	360	3	1
1683347	5867057	6963380	0	2400	300	3	1
1683358	5800813	6980848	0	2400	300	4	1
1683372	5856194	6930302	100	700	360	8	1
1683379	5848331	6964170	0	2400	360	8	1
1683386	5845589	6918488	0	2400	360	3	1
1683388	5834515	6924973	100	700	360	3	1
1683390	5816429	6955024	0	2400	300	6	1
1683396	5853872	6984798	0	2400	300	3	1
1683397	5853872	6984798	0	2400	60	3	1
1683398	5853872	6984798	100	700	300	2	1
1683399	5853872	6984798	100	700	60	2	1
1683400	5853872	6984798	0	2400	300	3	1
1683401	5853872	6984798	0	2400	60	3	1
1683402	5853872	6984798	100	700	300	3	1
1683403	5853872	6984798	100	700	60	3	1
1683404	5853872	6984798	100	700	300	6	1
1683405	5853872	6984798	0	2400	300	3	1
1683406	5853872	6984798	0	2400	60	3	1
1683407	5853872	6984798	100	700	300	2	1
1683408	5853872	6984798	100	700	60	3	1
1683422	5829852	6935309	0	2400	300	6	1
1683438	5815821	6986541	0	2400	300	3	1
1683443	5834159	6933810	0	2400	300	4	1
1683444	5832174	6937500	0	2400	300	3	1
1683445	5815173	6941477	0	2400	300	4	1
1683448	5815154	6941142	0	2400	360	4	1
1683449	5814802	6941902	0	2400	300	2	1
1683450	5814377	6947156	0	2400	300	2	1
1683454	5829426	6937698	0	2400	360	8	1
1683455	5828502	6931912	0	2400	300	6	1
1683459	5838777	6948946	0	2400	300	2	1
1683464	5844238	6918860	0	2400	240	2	1
1683467	5860026	6968621	0	2400	360	6	1
1683469	5837567	6927632	100	700	300	3	1
1683470	5827086	6930620	0	2400	300	8	1
1683472	5827950	6935917	0	2400	360	3	1
1683480	5856521	6969886	0	2400	300	8	1
1683486	5811282	6976652	0	2400	300	8	1
1683491	5822272	6980841	0	2400	300	4	1
1683494	5831420	6926009	100	700	360	4	1
1683498	5811393	6962284	0	2400	300	2	1
1683505	5838995	6948963	0	2400	300	8	1
1683506	5838995	6948963	0	2400	60	8	1
1683507	5838995	6948963	0	2400	60	8	1
1683508	5838995	6948963	0	2400	60	8	1
1683509	5838995	6948963	0	2400	60	8	1
1683510	5838995	6948963	0	2400	60	8	1
1683511	5838995	6948963	0	2400	60	8	1
1683537	5831122	6935244	0	2400	300	6	1
1683538	5830029	6924115	100	700	360	2	1
1683552	5838057	6922490	0	2400	300	4	1
1683555	5827432	6930985	0	2400	300	4	1
1683558	5862073	6933947	100	700	360	6	1
1683561	5843484	6937924	0	2400	300	2	1
1683562	5822400	6980815	0	2400	300	2	1
1683575	5822234	6935703	100	700	360	18	1
1683577	5830145	6924672	0	2400	360	8	1
1683582	5826917	6927663	0	2400	360	2	1
1683583	5826917	6927663	0	2400	60	3	1
1683584	5826917	6927663	0	2400	60	3	1
1683585	5826917	6927663	0	2400	60	3	1
1683586	5826917	6927663	0	2400	60	3	1
1683587	5826917	6927663	0	2400	60	3	1
1683588	5826917	6927663	0	2400	60	3	1
1683589	5826917	6927663	0	2400	60	3	1
1683590	5826917	6927663	0	2400	60	3	1
1683591	5826917	6927663	0	2400	60	3	1
1683592	5826917	6927663	0	2400	60	3	1
1683601	5838257	6931218.92	0	2400	300	4	1
1683602	5816429	6955024	0	2400	300	6	1
1683605	5817827	6948474	0	2400	300	3	1
1683607	5816429	6955024	0	2400	300	24	1
1683627	5875615	6959011	0	2400	60	4	1
1683628	5875615	6959011	0	2400	60	4	1
1683629	5875615	6959011	0	2400	60	4	1
1683630	5875615	6959011	0	2400	60	4	1
1683631	5875615	6959011	0	2400	60	4	1
1683632	5875615	6959011	0	2400	60	4	1
1683633	5875615	6959011	0	2400	60	4	1
1683634	5875615	6959011	0	2400	60	4	1
1683635	5875615	6959011	0	2400	60	4	1
1683636	5875615	6959011	0	2400	60	4	1
1683637	5875615	6959011	0	2400	60	4	1
1683638	5875615	6959011	0	2400	60	4	1
1683639	5875615	6959011	0	2400	60	4	1
1683640	5875615	6959011	0	2400	60	4	1
1683641	5875615	6959011	0	2400	60	4	1
1683642	5875615	6959011	0	2400	60	4	1
1683643	5875615	6959011	0	2400	60	4	1
1683644	5875615	6959011	0	2400	60	4	1
1683645	5875615	6959011	0	2400	60	4	1
1683646	5875615	6959011	0	2400	60	4	1
1683647	5875615	6959011	0	2400	60	4	1
1683648	5875615	6959011	0	2400	60	6	1
1683649	5875615	6959011	0	2400	60	6	1
1683650	5875615	6959011	0	2400	60	6	1
1683651	5875615	6959011	0	2400	60	6	1
1683652	5875615	6959011	0	2400	60	6	1
1683653	5875615	6959011	0	2400	60	6	1
1683654	5875615	6959011	0	2400	60	6	1
1683662	5875615	6959011	0	2400	300	8	1
1683663	5875615	6959011	0	2400	60	8	1
1683676	5870069	6936105	0	2400	300	4	1
1683683	5863126	6923561	0	2400	300	3	1
1683687	5868939	6978438	0	2400	300	3	1
1683688	5816130	6955624	0	2400	300	8	1
1683696	5849097	6945484	0	2400	300	8	1
1683701	5835801	6941379	800	1400	300	6	1
1683703	5837273	6943898	0	2400	300	6	1
1683710	5843248	6927825	0	2400	300	2	1
1683714	5839791	6948519	0	2400	60	8	1
1683720	5837328	6950082	0	2400	60	8	1
1683723	5839549	6948091	0	2400	300	6	1
1683741	5853879	6918342	0	2400	360	8	1
1683742	5853879	6918342	0	2400	60	8	1
1683743	5853879	6918342	0	2400	60	8	1
1683744	5853879	6918342	0	2400	60	8	1
1683750	5844329	6982165	0	2400	300	6	1
1683753	5850852	6984923	0	2400	300	6	1
1683755	5841213	6930273	0	2400	300	6	1
1683758	5846838	6982481	0	2400	300	4	1
1683759	5846838	6982481	0	2400	60	4	1
1683762	5846626	6981331	0	2400	300	6	1
1683763	5846626	6981331	0	2400	60	6	1
1683764	5846626	6981331	0	2400	60	6	1
1683767	5839443	6975464	0	2400	300	6	1
1683776	5852600.28	6878051.43	700	1700	300	8	1
1683781	5825415	6927910	0	2400	300	4	1
1683784	5855382	6969534	0	2400	300	6	1
1683787	5855410	6969515	0	2400	300	6	1
1683792	5848789	6964503	0	2400	360	8	1
1683794	5854994	6913621	0	2400	60	8	1
1683798	5857151	6981084	0	2400	300	4	1
1683799	5857151	6981084	0	2400	60	4	1
1683800	5857151	6981084	0	2400	60	2	1
1683801	5857151	6981084	0	2400	60	2	1
1683802	5857151	6981084	0	2400	60	2	1
1683803	5857151	6981084	0	2400	60	6	1
1683804	5857151	6981084	0	2400	60	6	1
1683808	5848181	6963260	0	2400	360	8	1
1683809	5848181	6963260	0	2400	300	0	1
1683816	5853352	6968333	0	2400	300	8	1
1683820	5816429	6955024	0	2400	300	8	1
1683821	5837309	6936266	0	2400	300	6	1
1683823	5831534	6929880	0	2400	360	4	1
1683824	5841546	6938932	0	2400	360	8	1
1683838	5819860	6945313	0	2400	360	6	1
1683843	5815069	6939892	0	2400	300	6	1
1683848	5811368	6976832	0	2400	240	4	1
1683849	5779387.82	6953732.42	0	2400	360	4	1
1683858	5816562	6988365	0	2400	300	2	1
1683866	5822693	6935704	0	2400	360	4	1
1683876	5830443	6934727	0	2400	300	4	1
1683895	5854804	6975302	0	2400	300	6	1
1683896	5853271	6968306	0	2400	360	8	1
1683899	5819619	6928858	0	2400	360	3	1
1683909	5851933	6971830	0	2400	360	8	1
1683926	5791665	6949003	0	2400	300	4	1
1683929	5835398	6924811	0	2400	360	2	1
1683931	5867066	6928307	0	2400	300	2	1
1683933	5838984	6920362	0	2400	360	8	1
1683943	5824479	6934918	0	2400	300	4	1
1683968	5849055	6933278	600	900	360	6	1
1683972	5853872	6984798	100	700	300	3	1
1683973	5853872	6984798	100	700	60	2	1
1683974	5853872	6984798	100	700	60	2	1
1684002	5850634	6935095	0	2400	300	8	1
1684003	5850634	6935095	0	2400	60	8	1
1684007	5839951	6948919	0	2400	300	6	1
1684012	5833846	6942062	0	2400	300	4	1
1684013	5833846	6942062	0	2400	60	2	1
1684020	5855543	6934651	0	2400	300	6	1
1684023	5839042	6932620	0	2400	300	8	1
1684026	5837263	6952244	0	2400	300	8	1
1684044	5848985	6933276	0	2400	360	6	1
1684047	5833942	6918688	0	2400	360	8	1
1684061	5868460	6975962	0	2400	300	8	1
1684068	5832106	6939260	0	2400	300	8	1
1684077	5851216	6931644	100	700	300	3	1
1684078	5851216	6931644	100	700	60	3	1
1684079	5851216	6931644	100	700	60	3	1
1684084	5858825	6967452	0	2400	300	3	1
1684100	5837906	6945167	0	2400	300	6	1
1684103	5827971	6926116	100	700	360	8	1
1684115	5827971	6926116	100	700	300	6	1
1684116	5857186	6967405	0	2400	360	6	1
1684117	5857186	6967405	0	2400	60	8	1
1684136	5847116	6935611	0	2400	360	2	1
1684158	5809779	6961653	0	2400	360	8	1
1684159	5809779	6961653	0	2400	60	8	1
1684160	5808962	6964058	0	2400	360	8	1
1684161	5808962	6964058	0	2400	60	8	1
1684162	5813896	6959688	0	2400	360	6	1
1684163	5813528	6960756	0	2400	360	6	1
1684164	5808594	6940123	0	2400	300	8	1
1684165	5817183	6986223	0	2400	360	6	1
1684167	5839301	6947773	0	2400	300	8	1
1684170	5846399	6984949	0	2400	360	8	1
1684175	5801548.45	6980697.21	0	2400	300	4	1
1684207	5849396	6947038	0	2400	300	6	1
1684208	5849396	6947038	0	2400	60	6	1
1684209	5849396	6947038	0	2400	60	6	1
1684210	5849396	6947038	0	2400	60	6	1
1684239	5849064	6933237	0	2400	300	4	1
1684255	5815439	6946981	0	2400	360	8	1
1684265	5872100	6961461	0	2400	360	2	1
1684306	5838470	6944538	0	2400	360	6	1
1684326	5874617	6941385	0	2400	300	6	1
1684332	5867708	6929026	0	2400	300	6	1
1684337	5848848	6926501	100	700	360	8	1
1684338	5848848	6926501	100	700	60	8	1
1684339	5848848	6926501	100	700	60	6	1
1684340	5848848	6926501	100	700	60	6	1
1684353	5828463	6840061	0	2400	60	4	1
1684358	5837530	6950011	0	2400	300	6	1
1684362	5848294	6982527	0	2400	300	4	1
1684363	5848294	6982527	0	2400	60	2	1
1684366	5845383	6979634	0	2400	300	8	1
1684369	5834685	6998045	0	2400	300	2	1
1684373	5848014	6962957	0	2400	300	2	1
1684374	5859979	6968765	0	2400	300	8	1
1684380	5891390	7044955	0	2400	60	8	1
1684382	5894559	6959570	0	2400	60	18	1
1684392	5848721	6966821	0	2400	360	6	1
1684410	5848402	6977668	0	2400	300	6	1
1684415	5838310	6949133	0	2400	300	4	1
1684416	5838310	6949133	0	2400	60	4	1
1684417	5838310	6949133	0	2400	60	4	1
1684418	5838310	6949133	0	2400	60	6	1
1684422	5840795	6964270	0	2400	300	8	1
1684438	5851449	6908057	0	2400	300	6	1
1684442	5816221.83	6866569.31	0	2400	300	4	1
1684444	5818506	6870327	0	2400	300	4	1
1684445	5818506	6870327	0	2400	60	4	1
1684446	5818506	6870327	0	2400	60	4	1
1684447	5818506	6870327	0	2400	60	4	1
1684448	5818506	6870327	0	2400	60	4	1
1684449	5818506	6870327	0	2400	60	4	1
1684450	5818506	6870327	0	2400	60	4	1
1684451	5818506	6870327	0	2400	60	4	1
1684452	5818506	6870327	0	2400	60	4	1
1684453	5818506	6870327	0	2400	60	4	1
1684466	5834241	6888404	800	1700	300	6	1
1684467	5844712	6882426	0	2400	300	6	1
1684472	5854671	6900000	800	1700	60	4	1
1684473	5849107	6903972	800	1700	300	6	1
1684474	5849107	6903972	800	1700	60	6	1
1684475	5849107	6903972	800	1700	60	4	1
1684476	5849107	6903972	800	1700	60	4	1
1684477	5849107	6903972	800	1700	60	4	1
1684482	5812613.35	6864602.94	0	2400	360	2	1
1684498	5850632	6910092	800	1700	300	6	1
1684499	5850632	6910092	800	1700	60	6	1
1684500	5850632	6910092	800	1700	60	6	1
1684510	5819706	6866709	0	2400	300	4	1
1684517	5820291	6872314	0	2400	300	6	1
1684537	5849709	6948720	0	2400	300	6	1
1684545	5836356	6923577	0	2400	300	6	1
1684589	5844375	6982564	0	2400	360	4	1
1684604	5815472	6938634	0	2400	60	8	1
1684606	5815472	6938634	0	2400	60	8	1
1684679	5836551	6931818	0	2400	60	6	1
1684735	5843277	6954680	0	2400	300	4	1
1684736	5843277	6954680	0	2400	60	4	1
1684777	5841292	6927929	0	2400	300	8	1
1684833	5839044	6934836	0	2400	60	6	1
1684836	5889982	6975389	0	2400	300	2	1
1684837	5871097	6947266	0	2400	300	4	1
1684839	5847660	6940000	0	2400	300	6	1
1684847	5828446	6934622	0	2400	300	4	1
1684852	5836074	6919766	0	2400	360	4	1
1684854	5816429	6955024	0	2400	300	2	1
1684886	5808594	6940123	0	2400	360	8	1
1684902	5812483	6934253	0	2400	300	4	1
1684906	5812483	6934253	0	2400	60	8	1
1684907	5812483	6934253	0	2400	300	4	1
1684913	5812483	6934253	0	2400	300	4	1
1684915	5812483	6934253	0	2400	300	4	1
1684928	5828100	6942980	0	2400	300	6	1
1684929	5828100	6942980	0	2400	360	6	1
1684930	5828100	6942980	0	2400	60	4	1
1684931	5828100	6942980	0	2400	60	4	1
1684935	5889512	6982318	0	2400	300	3	1
1684936	5889512	6982318	0	2400	60	3	1
1684965	5829915	6931864	0	2400	360	6	1
1684976	5886607	6955051	0	2400	300	8	1
1684978	5867584	6997742	0	2400	300	8	1
1684983	5819893	6941301	0	2400	300	4	1
1684991	5846927	6935472	0	2400	300	2	1
1685007	5832293	6935383	0	2400	360	6	1
1685017	5831594	6943315	0	2400	300	2	1
1685019	5851377	6900169	0	2400	360	4	1
1685020	5852005	6904723	800	1700	300	4	1
1685021	5850813	6912420	0	2400	300	4	1
1685022	5853587	6902758	0	2400	300	4	1
1685023	5851377	6900169	0	2400	360	4	1
1685026	5815660	6946873	0	2400	360	8	1
1685033	5848812	6935272	0	2400	360	6	1
1685040	5831731	6955244	0	2400	360	2	1
1685045	5812483	6934253	0	2400	300	4	1
1685046	5812483	6934253	0	2400	60	4	1
1685047	5812483	6934253	0	2400	60	2	1
1685049	5853266.82	6847973.86	0	2400	300	4	1
1685053	5847660	6940000	0	2400	360	6	1
1685056	5816698	6986610	0	2400	300	0	1
1685064	5813044	6962877	0	2400	300	8	1
1685065	5813044	6962877	0	2400	60	8	1
1685084	5826547	6939107	0	2400	300	6	1
1685098	5813533	6942972	0	2400	360	6	1
1685116	5831529	6943646	0	2400	360	8	1
1685119	5849258	6934701	0	2400	360	6	1
1685120	5830521	6927288	100	700	360	8	1
1685121	5832982	6924017	0	2400	360	3	1
1685136	5852267	6932863	0	2400	300	4	1
1685147	5812959	6981420	0	2400	300	4	1
1685162	5867901	6932482	0	2400	300	2	1
1685175	5863410	6984082	0	2400	60	4	1
1685234	5840348	6920026	0	2400	360	2	1
1685235	5812483	6934253	0	2400	300	2	1
1685236	5812483	6934253	0	2400	300	2	1
1685237	5812483	6934253	0	2400	300	4	1
1685238	5855708	6844506	0	2400	360	6	1
1685255	5833891	6925710	0	2400	300	2	1
1685256	5833891	6925710	0	2400	60	2	1
1685259	5848629	6924914	0	2400	300	6	1
1685260	5848629	6924914	0	2400	60	6	1
1685270	5864959	6984079	0	2400	300	8	1
1685276	5888667	6956249	0	2400	300	6	1
1685277	5888667	6956249	0	2400	60	6	1
1685278	5888667	6956249	0	2400	60	6	1
1685279	5888667	6956249	0	2400	60	6	1
1685280	5888667	6956249	0	2400	60	6	1
1685281	5888667	6956249	0	2400	60	6	1
1685282	5888667	6956249	0	2400	60	6	1
1685283	5888667	6956249	0	2400	60	6	1
1685284	5888667	6956249	0	2400	60	6	1
1685295	5855734	6935652	0	2400	360	3	1
1685296	5855734	6935652	0	2400	60	3	1
1685310	5839594	6934340	0	2400	300	6	1
1685311	5839594	6934340	0	2400	60	6	1
1685312	5839594	6934340	0	2400	60	6	1
1685320	5851138	6900209	0	2400	300	4	1
1685324	5820291	6872314	0	2400	300	6	1
1685352	5887948	6884567	800	1700	300	8	1
1685353	5887948	6884567	800	1700	60	6	1
1685354	5887948	6884567	0	2400	300	6	1
1685355	5887948	6884567	0	2400	300	6	1
1685356	5887948	6884567	0	2400	60	6	1
1685357	5887948	6884567	0	2400	300	6	1
1685363	5871417	6841903	0	2400	300	6	1
1685364	5871417	6841903	0	2400	60	6	1
1685365	5871417	6841903	0	2400	60	6	1
1685366	5871417	6841903	0	2400	60	6	1
1685367	5871417	6841903	0	2400	60	6	1
1685368	5871417	6841903	0	2400	60	6	1
1685370	5849861.16	6848389.66	0	2400	360	6	1
1685371	5852210	6843378	0	2400	360	6	1
1685374	5844288	6924722	0	2400	360	3	1
1685382	5848791	6980236	0	2400	300	8	1
1685393	5810738	6946704	0	2400	300	4	1
1685429	5828452	6934641	0	2400	300	8	1
1685448	5891949	6926323	0	2400	60	8	1
1685449	5810738	6946704	0	2400	300	8	1
1685450	5876836	6921112	0	2400	300	4	1
1685451	5876836	6921112	0	2400	60	4	1
1685456	5876836	6921112	0	2400	60	8	1
1685457	5835575	6924209	0	2400	360	6	1
1685458	5877251.67	6945767.54	0	2400	300	8	1
1685459	5828774	6934503	0	2400	360	6	1
1685461	5828452	6934641	0	2400	360	8	1
1685482	5808120	6940828	0	2400	300	6	1
1685528	5826567	6941188	0	2400	300	8	1
1685535	5853872	6984798	100	700	300	4	1
1685536	5853872	6984798	100	700	60	4	1
1685537	5853872	6984798	100	700	60	4	1
1685549	5849937	6902678	800	1700	300	8	1
1685550	5833385	6927859	0	2400	360	2	1
1685558	5853019	6941785	0	2400	300	2	1
1685559	5837221	6929465	0	2400	300	4	1
1685560	5837221	6929465	0	2400	60	6	1
1685561	5837221	6929465	0	2400	60	6	1
1685562	5837221	6929465	0	2400	60	6	1
1685563	5837221	6929465	0	2400	60	6	1
1685575	5810101	6938640	100	700	360	4	1
1685587	5853204	6889961	0	2400	360	8	1
1685609	5898870	6847130	0	2400	300	6	1
1685610	5898870	6847130	0	2400	60	6	1
1685611	5898870	6847130	0	2400	60	6	1
1685618	5898870	6847130	0	2400	60	8	1
1685619	5898870	6847130	0	2400	60	8	1
1685638	5907933	6843530	0	2400	360	2	1
1685639	5907933	6843530	0	2400	300	2	1
1685646	5839951	6948919	0	2400	360	6	1
1685654	5824600	6928313	0	2400	300	9	1
1685665	5824600	6928313	0	2400	60	6	1
1685676	5819844	6871652	0	2400	300	6	1
1685693	5799047	6858988	0	2400	360	8	1
1685695	5838768	6946708	0	2400	360	8	1
1685706	5847677	6964784	0	2400	60	6	1
1685707	5847677	6964784	0	2400	60	6	1
1685708	5847677	6964784	0	2400	60	6	1
1685709	5847677	6964784	0	2400	60	6	1
1685710	5847677	6964784	0	2400	60	6	1
1685720	5847677	6964784	0	2400	60	4	1
1685721	5847677	6964784	0	2400	60	4	1
1685722	5847677	6964784	0	2400	60	4	1
1685723	5847677	6964784	0	2400	60	0	1
1685724	5898870	6847130	0	2400	300	2	1
1685725	5898870	6847130	0	2400	60	3	1
1685726	5898870	6847130	0	2400	60	3	1
1685728	5863126	6923561	800	1700	300	6	1
1685730	5848678	6964857	0	2400	360	3	1
1685760	5836538	6945230	0	2400	300	2	1
1685779	5815084	6940152	0	2400	300	6	1
1685791	5816985	6937674	830	1630	300	8	1
1685834	5898870	6847130	0	2400	360	4	1
1685835	5832598	6936546	0	2400	360	6	1
1685969	5838289	6942274	0	2400	300	8	1
1685973	5898713	6848983	0	2400	300	2	1
1686008	5805441	6932581	0	2400	300	6	1
1686023	5832337	6919288	0	2400	300	6	1
